loss_train_epoch,pos_train_epoch,cell_train_epoch,atomic_numbers_train_epoch,epoch,step,lr-Adam,loss_train_step,pos_train_step,cell_train_step,atomic_numbers_train_step,loss_val,pos_val,cell_val,atomic_numbers_val,,loss_train_step,loss_val
2.44212985,18.39806747,0.164025828,0.438297361,0,35,,,,,,,,,,1,1.305381536,2.283016205
,,,,,49,1.00E-06,,,,,,,,,2,0.853724003,
,,,,1,49,,1.305381536,12.88706589,0.00413112,0.01254384,,,,,3,3.037324429,
1.912491679,14.47598457,0.061228327,0.403664947,1,71,,,,,,,,,,4,1.972401381,3.301987648
,,,,,99,1.00E-06,,,,,,,,,5,1.265720129,
,,,,2,99,,0.853724003,8.445790291,0.007819063,0.00132586,,,,,6,4.683722019,
2.139838934,15.33110046,0.224121407,0.382607639,2,107,,,,,,,,,,7,5.435595036,3.089883566
2.125820637,16.82172394,0.08144816,0.362199873,3,143,,,,,,,,,,8,1.899940491,
,,,,,149,1.00E-06,,,,,,,,,9,5.255028248,
,,,,4,149,,3.037324429,25.84486961,0.180898786,0.271938562,,,,,10,1.028575301,2.077114105
,,,,4,179,,,,,,2.283016205,17.80408478,0.089827009,0.412780851,11,2.525335073,
2.253067017,18.02117348,0.078878835,0.372070581,4,179,,,,,,,,,,12,1.482596636,
,,,,,199,1.00E-06,,,,,,,,,13,0.642281651,2.510931253
,,,,5,199,,1.972401381,0.93672663,0.06910339,1.809625268,,,,,14,1.382218599,
1.93979013,14.13028336,0.120829955,0.405931652,5,215,,,,,,,,,,15,0.153950095,
,,,,,249,1.00E-06,,,,,,,,,16,0.203108132,2.758884192
,,,,6,249,,1.265720129,0.052317619,0.014565606,1.245922685,,,,,17,1.428597808,
1.760911345,12.40108871,0.094835043,0.425967008,6,251,,,,,,,,,,18,0.458423585,
2.047435045,14.55866528,0.181548163,0.410020739,7,287,,,,,,,,,,19,5.818811417,2.464560986
,,,,,299,1.00E-06,,,,,,,,,20,2.306621552,
,,,,8,299,,4.683722019,44.81129837,0.083169132,0.119422771,,,,,21,0.856200039,
2.233204603,18.32254601,0.062666684,0.338283092,8,323,,,,,,,,,,22,4.617923737,3.089203835
,,,,,349,1.00E-06,,,,,,,,,23,0.456264973,
,,,,9,349,,5.435595036,47.88754654,0.031907365,0.614932656,,,,,24,1.630638838,
,,,,9,359,,,,,,3.301987648,27.01203156,0.062103316,0.538681269,25,1.698264003,2.397732019
2.101650715,17.55231094,0.084305711,0.262114078,9,359,,,,,,,,,,26,0.215887576,
2.404818296,19.52310562,0.135923177,0.316583961,10,395,,,,,,,,,,27,0.377746105,
,,,,,399,1.00E-06,,,,,,,,,28,5.7345438,2.671041012
,,,,11,399,,1.899940491,16.09952927,0.03357435,0.256413311,,,,,29,7.203095913,
2.054777622,16.23543549,0.055213887,0.376019925,11,431,,,,,,,,,,30,0.521261275,
,,,,,449,1.00E-06,,,,,,,,,31,0.499884576,2.830205679
,,,,12,449,,5.255028248,36.13431168,0.049228467,1.592368722,,,,,32,0.846254051,
1.976030827,14.63110733,0.051114161,0.461806238,12,467,,,,,,,,,,33,2.899269104,
,,,,,499,1.00E-06,,,,,,,,,34,1.526466966,2.2999053
,,,,13,499,,1.028575301,6.123190403,0.015296766,0.400959462,,,,,35,3.081634521,
1.989903808,15.52932739,0.07088843,0.366082251,13,503,,,,,,,,,,36,1.336438656,
,,,,14,539,,,,,,3.089883566,23.53658867,0.113073081,0.623151958,37,1.031577706,3.697279692
1.997401714,15.17908382,0.080896072,0.398597181,14,539,,,,,,,,,,38,0.547828734,
,,,,,549,1.00E-06,,,,,,,,,39,1.647133827,
,,,,15,549,,2.525335073,14.78516865,0.02209973,1.024718285,,,,,40,0.658786416,2.24649477
1.871862173,12.56755829,0.135433525,0.479672849,15,575,,,,,,,,,,41,1.160200238,
,,,,,599,1.00E-06,,,,,,,,,42,1.123760939,
,,,,16,599,,1.482596636,11.90023899,0.011436997,0.281135768,,,,,43,0.967508256,1.870360732
1.991407156,14.13225842,0.168227375,0.409953713,16,611,,,,,,,,,,44,0.594461441,
2.015069485,15.80218029,0.098097652,0.336753517,17,647,,,,,,,,,,45,3.159019232,
,,,,,649,1.00E-06,,,,,,,,,46,1.046430826,1.543791771
,,,,18,649,,0.642281651,0.001002816,0.001929274,0.640252113,,,,,47,3.664556742,
1.824182272,13.19356537,0.08437556,0.420450568,18,683,,,,,,,,,,48,2.704459667,
,,,,,699,1.00E-06,,,,,,,,,49,0.216032982,2.533937931
,,,,19,699,,1.382218599,2.0422225,0.025421636,1.152574658,,,,,50,0.329144299,
,,,,19,719,,,,,,2.077114105,14.47100639,0.047611285,0.58240217,51,1.601655483,
1.790864706,12.9934454,0.081496269,0.410023659,19,719,,,,,,,,,,52,3.092353582,2.353719711
,,,,,749,1.00E-06,,,,,,,,,53,4.244997501,
,,,,20,749,,0.153950095,0.249506757,0.000898759,0.128100663,,,,,54,2.073083162,
1.877640843,14.52484322,0.068164535,0.356991917,20,755,,,,,,,,,,55,0.507623672,2.916708946
2.281309605,17.86613464,0.150296941,0.344399124,21,791,,,,,,,,,,56,0.884537458,
,,,,,799,1.00E-06,,,,,,,,,57,1.351709843,
,,,,22,799,,0.203108132,2.013577938,0.000901618,0.000848706,,,,,58,2.900490284,2.433645248
1.890333176,14.78264046,0.078736722,0.333332419,22,827,,,,,,,,,,59,2.479929924,
,,,,,849,1.00E-06,,,,,,,,,60,1.465287685,
,,,,23,849,,1.428597808,12.27385902,0.025917619,0.17529422,,,,,61,1.829999804,2.308370829
1.764936209,13.10598755,0.065916002,0.388421655,23,863,,,,,,,,,,62,3.830639362,
,,,,,899,1.00E-06,,,,,,,,,63,0.868730426,
,,,,24,899,,0.458423585,1.088069201,0.002124476,0.347492188,,,,,64,0.774806261,2.356853247
,,,,24,899,,,,,,2.510931253,21.29672813,0.046752855,0.334505439,65,1.813696623,
2.279983997,18.53613853,0.106886052,0.319484115,24,899,,,,,,,,,,66,3.02566123,
1.706830502,12.38473606,0.078278311,0.390078753,25,935,,,,,,,,,,67,0.249440193,1.738297343
,,,,,949,1.00E-06,,,,,,,,,68,0.50623703,
,,,,26,949,,5.818811417,46.46123123,0.043111037,1.129577398,,,,,69,0.968535304,
2.004120827,15.74146366,0.068628296,0.361345947,26,971,,,,,,,,,,70,0.842805028,2.152816296
,,,,,999,1.00E-06,,,,,,,,,71,3.159902334,
,,,,27,999,,2.306621552,20.99607086,0.141625091,0.065389223,,,,,72,0.106475659,
1.83045876,13.85667801,0.074014768,0.370776206,27,1007,,,,,,,,,,73,1.813977838,2.394138813
