lr-Adam,step,loss_train_step,pos_train_step,cell_train_step,atomic_numbers_train_step,epoch,loss_val,pos_val,cell_val,atomic_numbers_val,loss_train_epoch,pos_train_epoch,cell_train_epoch,atomic_numbers_train_epoch
0.0001,49,,,,,,,,,,,,,
,49,0.7494579553604126,4.111532688140869,0.14811056852340698,0.19019412994384766,0,,,,,,,,
0.0001,99,,,,,,,,,,,,,
,99,0.4803922474384308,3.072998046875,0.03234168887138367,0.1407507061958313,0,,,,,,,,
0.0001,149,,,,,,,,,,,,,
,149,0.4761488437652588,2.972588062286377,0.026226798072457314,0.1526632457971573,0,,,,,,,,
,153,,,,,0,0.431530237197876,2.943922996520996,0.013202850706875324,0.12393496930599213,,,,
,153,,,,,0,,,,,0.5144694447517395,3.581531286239624,0.016470985487103462,0.13984528183937073
0.0001,199,,,,,,,,,,,,,
,199,0.37479984760284424,2.3270926475524902,0.009549353271722794,0.132541224360466,1,,,,,,,,
0.0001,249,,,,,,,,,,,,,
,249,0.42976057529449463,2.9301023483276367,0.01018994115293026,0.12656036019325256,1,,,,,,,,
0.0001,299,,,,,,,,,,,,,
,299,0.33647313714027405,2.3894121646881104,0.00743410037830472,0.09009779244661331,1,,,,,,,,
,307,,,,,1,0.4176231622695923,2.8064475059509277,0.012304509989917278,0.12467401474714279,,,,
,307,,,,,1,,,,,0.48746514320373535,3.383697271347046,0.015885598957538605,0.13320964574813843
0.0001,349,,,,,,,,,,,,,
,349,0.5146179795265198,3.1606345176696777,0.0388108491897583,0.15974366664886475,2,,,,,,,,
0.0001,399,,,,,,,,,,,,,
,399,0.3968978524208069,3.076353073120117,0.015619544312357903,0.07364296913146973,2,,,,,,,,
0.0001,449,,,,,,,,,,,,,
,449,0.3932572603225708,2.9285857677459717,0.0054858108051121235,0.09491285681724548,2,,,,,,,,
,461,,,,,2,0.4224015474319458,2.9352869987487793,0.012679144740104675,0.1161937266588211,,,,
,461,,,,,2,,,,,0.4799433946609497,3.3680644035339355,0.016104616224765778,0.12703248858451843
0.0001,499,,,,,,,,,,,,,
,499,0.4455578327178955,2.976793050765991,0.006061493419110775,0.14181701838970184,3,,,,,,,,
0.0001,549,,,,,,,,,,,,,
,549,0.4164952039718628,3.067831516265869,0.018779674544930458,0.09093236923217773,3,,,,,,,,
0.0001,599,,,,,,,,,,,,,
,599,0.42516034841537476,3.0140326023101807,0.011883404105901718,0.11187367141246796,3,,,,,,,,
,615,,,,,3,0.41633954644203186,2.876814365386963,0.01065587904304266,0.1180022731423378,,,,
,615,,,,,3,,,,,0.48692604899406433,3.4779603481292725,0.014549847692251205,0.12458020448684692
0.0001,649,,,,,,,,,,,,,
,649,0.48136648535728455,3.3942394256591797,0.005854579620063305,0.13608790934085846,4,,,,,,,,
0.0001,699,,,,,,,,,,,,,
