lr-Adam,step,loss_train_step,pos_train_step,cell_train_step,atomic_numbers_train_step,epoch,loss_val,pos_val,cell_val,atomic_numbers_val,loss_train_epoch,pos_train_epoch,cell_train_epoch,atomic_numbers_train_epoch,,,loss_train_epoch,loss_val
0.0001,49,,,,,,,,,,,,,,,1,0.431586385,0.41594094
,49,0.541000485,3.9328651428222656,0.016462961211800575,0.1312509924173355,0,,,,,,,,,,2,0.418177664,0.420046538
0.0001,99,,,,,,,,,,,,,,,3,0.411928445,0.441799045
,99,0.4781542122364044,2.8552136421203613,0.016649324,0.1759835183620453,0,,,,,,,,,,4,0.418771625,0.427335888
,146,,,,,0,0.41594094038009644,2.8748085498809814,0.010862624272704124,0.11759742349386215,,,,,,5,0.413497329,0.439221561
,146,,,,,0,,,,,0.4315863847732544,2.892706871032715,0.014513678848743439,0.1278020590543747,,6,0.406941116,0.415780813
0.0001,149,,,,,,,,,,,,,,,7,0.417437434,0.420947999
,149,0.3995056748390198,2.681650161743164,0.006930658,0.12440996617078781,1,,,,,,,,,,8,0.417477727,0.412440419
0.0001,199,,,,,,,,,,,,,,,9,0.403095663,0.41739133
,199,0.478770912,3.413818836212158,0.01167387,0.12571516633033752,1,,,,,,,,,,10,0.412641615,0.403271705
0.0001,249,,,,,,,,,,,,,,,11,0.41614455,0.410581321
,249,0.5279231071472168,3.616976737976074,0.016698172315955162,0.14952722191810608,1,,,,,,,,,,12,0.413259655,0.414663017
,293,,,,,1,0.42004653811454773,2.859382152557373,0.010019132867455482,0.12408912926912308,,,,,,13,0.406122595,0.411350638
,293,,,,,1,,,,,0.41817766427993774,2.8836867809295654,0.011188914999365807,0.11862000077962875,,14,0.424381256,0.429216236
0.0001,299,,,,,,,,,,,,,,,15,0.416968256,0.409041971
,299,0.33825749158859253,2.2338812351226807,0.009366974,0.1055024117231369,2,,,,,,,,,,16,0.41684714,0.408852547
0.0001,349,,,,,,,,,,,,,,,17,0.409962237,0.408186823
,349,0.4456091523170471,3.1806371212005615,0.032462671399116516,0.09508276,2,,,,,,,,,,18,0.404256791,0.415973037
0.0001,399,,,,,,,,,,,,,,,19,0.400904715,0.435412973
,399,0.4214325249195099,3.0030531883239746,0.010997920297086239,0.11012926697731018,2,,,,,,,,,,20,0.411521256,0.424751937
,440,,,,,2,0.4417990446090698,3.044052839279175,0.012985977344214916,0.1244077980518341,,,,,,21,0.410333276,0.423725873
,440,,,,,2,,,,,0.4119284451007843,2.7979276180267334,0.011827991344034672,0.12030774354934692,,22,0.408660561,0.411348492
0.0001,449,,,,,,,,,,,,,,,23,0.413063645,0.423260123
,449,0.45601367950439453,3.210104227,0.004910226,0.1300930380821228,3,,,,,,,,,,24,0.418961525,0.394771814
0.0001,499,,,,,,,,,,,,,,,25,0.410437256,0.404000819
,499,0.36683911085128784,2.433584690093994,0.015626803040504456,0.10785385221242905,3,,,,,,,,,,26,0.408076376,0.41193682
0.0001,549,,,,,,,,,,,,,,,27,0.40549773,0.410733312
,549,0.45629632472991943,2.9150772094726562,0.010742325335741043,0.15404626727104187,3,,,,,,,,,,28,0.418292463,0.425257713
,587,,,,,3,0.4273358881473541,2.9523632526397705,0.012342799,0.1197567880153656,,,,,,29,0.411719114,0.430056304
,587,,,,,3,,,,,0.4187716245651245,2.896042823791504,0.012108661234378815,0.11705852299928665,,30,0.401630193,0.391129494
0.0001,599,,,,,,,,,,,,,,,31,0.405214369,0.408789039
,599,0.2205721139907837,0.9946483373641968,0.004755841,0.1163514107465744,4,,,,,,,,,,32,0.41240865,0.420776129
0.0001,649,,,,,,,,,,,,,,,33,0.419106215,0.404705375
,649,0.27835017442703247,1.8453646898269653,0.005728573,0.08808513,4,,,,,,,,,,34,0.413990617,0.399992645
0.0001,699,,,,,,,,,,,,,,,35,0.406303525,0.425203055
,699,0.3377975821495056,2.3099372386932373,0.012218127027153969,0.094585702,4,,,,,,,,,,36,0.402257562,0.402441025
,734,,,,,4,0.4392215609550476,3.0992543697357178,0.010052132420241833,0.11924400180578232,,,,,,37,0.415955871,0.411296427
,734,,,,,4,,,,,0.41349732875823975,2.8445563316345215,0.012660081498324871,0.11638162285089493,,38,0.394977987,0.410264403
0.0001,749,,,,,,,,,,,,,,,39,0.407748103,0.408278823
,749,0.45091497898101807,3.503671169281006,0.008685361,0.091862522,5,,,,,,,,,,40,0.414496154,0.402526528
0.0001,799,,,,,,,,,,,,,,,41,0.418590873,0.384348899
,799,0.36267417669296265,2.456310272216797,0.006527443,0.11051574349403381,5,,,,,,,,,,42,0.407906383,0.410945088
0.0001,849,,,,,,,,,,,,,,,43,0.413109124,0.414141268
,849,0.43575334548950195,3.1700387001037598,0.004130577,0.11461889743804932,5,,,,,,,,,,44,0.40399012,0.415363669
,881,,,,,5,0.41578081250190735,2.949470281600952,0.009992761,0.1108410432934761,,,,,,45,0.406279922,0.399772257
,881,,,,,5,,,,,0.40694111585617065,2.807027578353882,0.011981924995779991,0.11425645649433136,,46,0.403420329,0.416459948
0.0001,899,,,,,,,,,,,,,,,47,0.406825155,0.407153606
,899,0.5063303709030151,3.790642499923706,0.013819434680044651,0.11344663798809052,6,,,,,,,,,,48,0.404228389,0.408098876
0.0001,949,,,,,,,,,,,,,,,49,0.407496572,0.419094324
,949,0.3311934471130371,2.2589781284332275,0.007456454,0.097839147,6,,,,,,,,,,50,0.410188407,0.411581933
0.0001,999,,,,,,,,,,,,,,,51,0.417975605,0.424850494
,999,0.5950113534927368,3.880916118621826,0.046979528,0.15994015336036682,6,,,,,,,,,,52,0.402959079,0.415247083
,1028,,,,,6,0.42094799876213074,2.9372546672821045,0.010882979,0.11633944511413574,,,,,,53,0.395388544,0.386771202
,1028,,,,,6,,,,,0.41743743419647217,2.8946738243103027,0.011768003,0.11620206385850906,,54,0.397737563,0.401383162
0.0001,1049,,,,,,,,,,,,,,,55,0.403630793,0.429435283
,1049,0.41429492831230164,2.8107783794403076,0.037693314254283905,0.095523775,7,,,,,,,,,,56,0.400682896,0.423998266
0.0001,1099,,,,,,,,,,,,,,,57,0.405553907,0.41624397
,1099,0.3255980908870697,2.4790022373199463,0.006004767,0.071693107,7,,,,,,,,,,58,0.403327495,0.389025629
