lr-Adam,step,loss_train_step,pos_train_step,cell_train_step,atomic_numbers_train_step,epoch,loss_val,pos_val,cell_val,atomic_numbers_val,loss_train_epoch,pos_train_epoch,cell_train_epoch,atomic_numbers_train_epoch,,,loss_train,loss_val
0.0001,49,,,,,,,,,,,,,,,1,0.514469445,0.431530237
,49,0.749457955,4.111532688,0.148110569,0.19019413,0,,,,,,,,,,2,0.487465143,0.417623162
0.0001,99,,,,,,,,,,,,,,,3,0.479943395,0.422401547
,99,0.480392247,3.072998047,0.032341689,0.140750706,0,,,,,,,,,,4,0.486926049,0.416339546
0.0001,149,,,,,,,,,,,,,,,5,0.478218585,0.41917327
,149,0.476148844,2.972588062,0.026226798,0.152663246,0,,,,,,,,,,6,0.468203545,0.440593451
,153,,,,,0,0.431530237,2.943922997,0.013202851,0.123934969,,,,,,7,0.482278824,0.428566843
,153,,,,,0,,,,,0.514469445,3.581531286,0.016470985,0.139845282,,8,0.472554892,0.432056636
0.0001,199,,,,,,,,,,,,,,,9,0.477394968,0.413181931
,199,0.374799848,2.327092648,0.009549353,0.132541224,1,,,,,,,,,,10,0.489248842,0.427180052
0.0001,249,,,,,,,,,,,,,,,11,0.464755088,0.382048011
,249,0.429760575,2.930102348,0.010189941,0.12656036,1,,,,,,,,,,12,0.471014619,0.408181131
0.0001,299,,,,,,,,,,,,,,,13,0.478933692,0.428231895
,299,0.336473137,2.389412165,0.0074341,0.090097792,1,,,,,,,,,,14,0.459155887,0.400874645
,307,,,,,1,0.417623162,2.806447506,0.01230451,0.124674015,,,,,,15,0.469102204,0.413201779
,307,,,,,1,,,,,0.487465143,3.383697271,0.015885599,0.133209646,,16,0.476347953,0.408009529
0.0001,349,,,,,,,,,,,,,,,17,0.469798297,0.434427887
,349,0.51461798,3.160634518,0.038810849,0.159743667,2,,,,,,,,,,18,0.470551163,0.406079024
0.0001,399,,,,,,,,,,,,,,,19,0.467094511,0.408593029
,399,0.396897852,3.076353073,0.015619544,0.073642969,2,,,,,,,,,,20,0.46769917,0.424450904
0.0001,449,,,,,,,,,,,,,,,21,0.480533391,0.398548543
,449,0.39325726,2.928585768,0.005485811,0.094912857,2,,,,,,,,,,22,0.475770772,0.405795693
,461,,,,,2,0.422401547,2.935286999,0.012679145,0.116193727,,,,,,23,0.479467303,0.404618114
,461,,,,,2,,,,,0.479943395,3.368064404,0.016104616,0.127032489,,24,0.463945508,0.399350107
0.0001,499,,,,,,,,,,,,,,,25,0.462476671,0.416854441
,499,0.445557833,2.976793051,0.006061493,0.141817018,3,,,,,,,,,,26,0.471949548,0.422468692
0.0001,549,,,,,,,,,,,,,,,27,0.470820487,0.407664537
,549,0.416495204,3.067831516,0.018779675,0.090932369,3,,,,,,,,,,28,0.476935595,0.404105842
0.0001,599,,,,,,,,,,,,,,,29,0.468293309,0.42816323
,599,0.425160348,3.014032602,0.011883404,0.111873671,3,,,,,,,,,,30,0.479403317,0.414251
,615,,,,,3,0.416339546,2.876814365,0.010655879,0.118002273,,,,,,31,0.46079874,0.428235948
