lr-Adam,step,loss_train_step,pos_train_step,cell_train_step,atomic_numbers_train_step,epoch,loss_train_epoch,pos_train_epoch,cell_train_epoch,atomic_numbers_train_epoch,loss_val,pos_val,cell_val,atomic_numbers_val
5e-06,49,,,,,,,,,,,,,
,49,3.0792481899261475,29.1148624420166,0.03344999626278877,0.13431189954280853,0,,,,,,,,
,53,,,,,0,1.9937745332717896,15.769227981567383,0.07563263922929764,0.34121882915496826,,,,
5e-06,99,,,,,,,,,,,,,
,99,2.7886550426483154,24.672792434692383,0.08551892638206482,0.23585714399814606,1,,,,,,,,
,107,,,,,1,1.8675860166549683,14.161861419677734,0.06939030438661575,0.3820093274116516,,,,
5e-06,149,,,,,,,,,,,,,
,149,6.543866157531738,56.32945251464844,0.3728208541870117,0.5380998849868774,2,,,,,,,,
,161,,,,,2,1.9877909421920776,15.979928016662598,0.0784812942147255,0.31131699681282043,,,,
5e-06,199,,,,,,,,,,,,,
,199,3.513375759124756,33.207576751708984,0.06484850496053696,0.12776951491832733,3,,,,,,,,
,215,,,,,3,1.7891106605529785,14.3489990234375,0.058857113122940063,0.29535382986068726,,,,
5e-06,249,,,,,,,,,,,,,
,249,2.71293568611145,15.637685775756836,0.22722125053405762,0.9219458103179932,4,,,,,,,,
,269,,,,,4,,,,,1.6434919834136963,13.587066650390625,0.04100224748253822,0.24378278851509094
,269,,,,,4,1.454540491104126,11.003632545471191,0.0729713886976242,0.28120577335357666,,,,
5e-06,299,,,,,,,,,,,,,
,299,1.4394996166229248,14.133079528808594,0.020342661067843437,0.00584911834448576,5,,,,,,,,
,323,,,,,5,1.745755672454834,14.399354934692383,0.04951378330588341,0.25630614161491394,,,,
5e-06,349,,,,,,,,,,,,,
,349,1.9928300380706787,14.941125869750977,0.03076709248125553,0.46795037388801575,6,,,,,,,,
,377,,,,,6,1.5415947437286377,12.479101181030273,0.04761509969830513,0.2460697889328003,,,,
5e-06,399,,,,,,,,,,,,,
,399,1.3610782623291016,13.020021438598633,0.03135127201676369,0.027724800631403923,7,,,,,,,,
