lr-Adam,step,loss_train_step,pos_train_step,cell_train_step,atomic_numbers_train_step,epoch,loss_train_epoch,pos_train_epoch,cell_train_epoch,atomic_numbers_train_epoch,loss_val,pos_val,cell_val,atomic_numbers_val,,loss_train_epoch,loss_val,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,49,,,,,,,,,,,,,,1,1.993774533,1.643491983,1,1.643491983,1.643491983,1.338017821,1.404687524,1.690316439,0.781621337,1.218709707,1.32420516,1.170256972,1.076634169,1.178307295,1.01100719,1.254458189,1.22835505,0.994086146,1.1795578,1.186988115,0.939396858,0.900464177,1.280977011,0.777420878,0.701463461,1.212345123,0.939599514,1.1902107,1.02237165,1.331351399,1.12016809,1.044836283,0.959527969,0.821681678,0.915354848,0.630004883,0.984775245,0.881539643,1.172403455,1.099392176,0.872945905,0.681906998,0.913360953,1.280505776
,49,3.07924819,29.11486244,0.033449996,0.1343119,0,,,,,,,,,2,1.867586017,1.338017821,6,1.338017821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53,,,,,0,1.993774533,15.76922798,0.075632639,0.341218829,,,,,3,1.987790942,1.404687524,11,1.404687524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,99,,,,,,,,,,,,,,4,1.789110661,1.690316439,16,1.690316439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,2.788655043,24.67279243,0.085518926,0.235857144,1,,,,,,,,,5,1.454540491,0.781621337,21,0.781621337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,107,,,,,1,1.867586017,14.16186142,0.069390304,0.382009327,,,,,6,1.745755672,1.218709707,26,1.218709707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,149,,,,,,,,,,,,,,7,1.541594744,1.32420516,31,1.32420516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,149,6.543866158,56.32945251,0.372820854,0.538099885,2,,,,,,,,,8,1.522479057,1.170256972,36,1.170256972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,161,,,,,2,1.987790942,15.97992802,0.078481294,0.311316997,,,,,9,1.788805246,1.076634169,41,1.076634169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,199,,,,,,,,,,,,,,10,1.802584052,1.178307295,46,1.178307295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,199,3.513375759,33.20757675,0.064848505,0.127769515,3,,,,,,,,,11,1.700683713,1.01100719,51,1.01100719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
