lr-Adam,step,loss_train_step,pos_train_step,cell_train_step,atomic_numbers_train_step,epoch,loss_train_epoch,pos_train_epoch,cell_train_epoch,atomic_numbers_train_epoch,loss_val,pos_val,cell_val,atomic_numbers_val
5e-06,49,,,,,,,,,,,,,
,49,2.548793315887451,22.37925910949707,0.19428132474422455,0.11658591777086258,0,,,,,,,,
,78,,,,,0,2.803887367248535,21.93776512145996,0.11193061619997025,0.49818071722984314,,,,
5e-06,99,,,,,,,,,,,,,
,99,3.78202223777771,35.38324737548828,0.08354498445987701,0.16015248000621796,1,,,,,,,,
5e-06,149,,,,,,,,,,,,,
,149,2.243119716644287,1.9064944982528687,0.3404190242290497,1.7120511531829834,1,,,,,,,,
,157,,,,,1,2.5335729122161865,20.61353874206543,0.08137135207653046,0.3908475637435913,,,,
5e-06,199,,,,,,,,,,,,,
,199,1.6546400785446167,0.0024006625171750784,0.3294590413570404,1.3249409198760986,2,,,,,,,,
,236,,,,,2,2.6838431358337402,22.72654151916504,0.10974699258804321,0.30144253373146057,,,,
5e-06,249,,,,,,,,,,,,,
,249,0.1913517862558365,0.8917199969291687,0.0033154624979943037,0.09886431694030762,3,,,,,,,,
5e-06,299,,,,,,,,,,,,,
,299,1.3009141683578491,12.775030136108398,0.019645221531391144,0.0037659616209566593,3,,,,,,,,
,315,,,,,3,2.5130257606506348,21.357303619384766,0.070817731320858,0.3064773678779602,,,,
5e-06,349,,,,,,,,,,,,,
,349,6.834053993225098,61.083229064941406,0.12051704525947571,0.6052138209342957,4,,,,,,,,
,394,,,,,4,,,,,1.672296404838562,14.980277061462402,0.07502912729978561,0.09923970699310303
,394,,,,,4,2.523172378540039,20.649385452270508,0.09243807941675186,0.36579567193984985,,,,
5e-06,399,,,,,,,,,,,,,
,399,0.1693885624408722,0.00022349787468556315,0.0010918272892013192,0.168274387717247,5,,,,,,,,
5e-06,449,,,,,,,,,,,,,
,449,2.949504852294922,27.335050582885742,0.0023906356655061245,0.21360911428928375,5,,,,,,,,
,473,,,,,5,2.168818473815918,17.820846557617188,0.055376552045345306,0.33135709166526794,,,,
5e-06,499,,,,,,,,,,,,,
,499,2.2557013034820557,21.455371856689453,0.06812898814678192,0.04203512519598007,6,,,,,,,,
5e-06,549,,,,,,,,,,,,,
,549,2.34879469871521,23.12451171875,0.022794684395194054,0.013548821210861206,6,,,,,,,,
,552,,,,,6,1.8626786470413208,14.510581016540527,0.061641886830329895,0.3499784767627716,,,,
5e-06,599,,,,,,,,,,,,,
,599,1.3826971054077148,12.30644416809082,0.058838725090026855,0.09321396052837372,7,,,,,,,,
,631,,,,,7,2.0659167766571045,17.43268585205078,0.07752088457345963,0.24512742459774017,,,,
5e-06,649,,,,,,,,,,,,,
,649,2.231365442276001,19.671232223510742,0.263979434967041,0.00026269760564900935,8,,,,,,,,
5e-06,699,,,,,,,,,,,,,
,699,4.626587867736816,41.108829498291016,0.12827497720718384,0.3874295949935913,8,,,,,,,,
,710,,,,,8,2.1551413536071777,17.635805130004883,0.06806626170873642,0.3234945237636566,,,,
5e-06,749,,,,,,,,,,,,,
,749,1.273413062095642,12.568050384521484,0.007181563414633274,0.009426472708582878,9,,,,,,,,
,789,,,,,9,,,,,0.9166051149368286,4.537594318389893,0.05318296328186989,0.4096626937389374
,789,,,,,9,1.9905953407287598,16.073314666748047,0.06065269559621811,0.32261088490486145,,,,
5e-06,799,,,,,,,,,,,,,
,799,0.2250678688287735,0.8348957896232605,0.0061258538626134396,0.13545243442058563,10,,,,,,,,
5e-06,849,,,,,,,,,,,,,
,849,0.4721110165119171,4.229916572570801,0.04426947608590126,0.004849870223551989,10,,,,,,,,
,868,,,,,10,2.040003776550293,17.119735717773438,0.04309457540512085,0.28493550419807434,,,,
5e-06,899,,,,,,,,,,,,,
,899,0.7408125996589661,0.00026398978661745787,0.0017612493829801679,0.7390249371528625,11,,,,,,,,
,947,,,,,11,1.6071538925170898,12.126238822937012,0.05385840684175491,0.3406715393066406,,,,
5e-06,949,,,,,,,,,,,,,
,949,0.2042030245065689,0.00017567929171491414,0.0022976535838097334,0.2018878012895584,12,,,,,,,,
5e-06,999,,,,,,,,,,,,,
,999,8.693156242370605,81.46405029296875,0.07637442648410797,0.4703771471977234,12,,,,,,,,
,1026,,,,,12,2.041405200958252,17.178747177124023,0.044492218643426895,0.2790382504463196,,,,
5e-06,1049,,,,,,,,,,,,,
,1049,0.6282311677932739,5.8522515296936035,0.004029470030218363,0.0389765240252018,13,,,,,,,,
5e-06,1099,,,,,,,,,,,,,
,1099,6.880917072296143,64.25390625,0.25153058767318726,0.20399557054042816,13,,,,,,,,
,1105,,,,,13,2.0742435455322266,17.015541076660156,0.06370416283607483,0.3089854419231415,,,,
5e-06,1149,,,,,,,,,,,,,
,1149,0.10812139511108398,0.7590268850326538,0.006709151901304722,0.025509553030133247,14,,,,,,,,
,1184,,,,,14,,,,,2.2508437633514404,20.573406219482422,0.06878646463155746,0.12471653521060944
,1184,,,,,14,1.6820462942123413,13.739422798156738,0.06710833311080933,0.24099528789520264,,,,
5e-06,1199,,,,,,,,,,,,,
,1199,0.1304357796907425,1.2947781085968018,0.0008274567080661654,0.0001305077748838812,15,,,,,,,,
5e-06,1249,,,,,,,,,,,,,
,1249,0.3420533537864685,2.7161977291107178,0.07037656754255295,5.702640555682592e-05,15,,,,,,,,
,1263,,,,,15,2.002495765686035,16.984716415405273,0.07515335828065872,0.22887097299098969,,,,
5e-06,1299,,,,,,,,,,,,,
,1299,1.1655166149139404,10.86009693145752,0.008852029219269753,0.07065486907958984,16,,,,,,,,
,1342,,,,,16,2.1801438331604004,18.662364959716797,0.06127892807126045,0.25262853503227234,,,,
5e-06,1349,,,,,,,,,,,,,
,1349,0.44340407848358154,0.05023365095257759,0.00668188463896513,0.43169882893562317,17,,,,,,,,
