lr-Adam,step,loss_train_step,pos_train_step,cell_train_step,atomic_numbers_train_step,epoch,loss_train_epoch,pos_train_epoch,cell_train_epoch,atomic_numbers_train_epoch,loss_val,pos_val,cell_val,atomic_numbers_val
5e-06,49,,,,,,,,,,,,,
,49,0.4975830912590027,3.335484266281128,0.003192511387169361,0.16084209084510803,0,,,,,,,,
5e-06,99,,,,,,,,,,,,,
,99,0.4992256760597229,2.9290771484375,0.01612548530101776,0.19019249081611633,0,,,,,,,,
5e-06,149,,,,,,,,,,,,,
,149,0.35078302025794983,2.6141998767852783,0.0036605242639780045,0.08570250868797302,0,,,,,,,,
,156,,,,,0,0.4333600699901581,2.784696578979492,0.013667259365320206,0.1412232667207718,,,,
5e-06,199,,,,,,,,,,,,,
,199,0.39295417070388794,2.242154121398926,0.01801990158855915,0.15071885287761688,1,,,,,,,,
5e-06,249,,,,,,,,,,,,,
,249,0.47022682428359985,3.4722108840942383,0.006583923473954201,0.11642177402973175,1,,,,,,,,
5e-06,299,,,,,,,,,,,,,
,299,0.4131554961204529,2.9518370628356934,0.007132985629141331,0.11083883047103882,1,,,,,,,,
,313,,,,,1,0.43574634194374084,2.9069132804870605,0.013425270095467567,0.13162969052791595,,,,
5e-06,349,,,,,,,,,,,,,
,349,0.3519681692123413,2.2144622802734375,0.03520800545811653,0.09531393647193909,2,,,,,,,,
5e-06,399,,,,,,,,,,,,,
,399,0.4379800856113434,2.417300224304199,0.009694131091237068,0.18655593693256378,2,,,,,,,,
5e-06,449,,,,,,,,,,,,,
,449,0.4859367907047272,3.629565715789795,0.005978350527584553,0.11700186133384705,2,,,,,,,,
,470,,,,,2,0.4271949231624603,2.846142530441284,0.0128659438341856,0.12971460819244385,,,,
5e-06,499,,,,,,,,,,,,,
,499,0.4735810458660126,3.507917881011963,0.0052993688732385635,0.11748985946178436,3,,,,,,,,
5e-06,549,,,,,,,,,,,,,
,549,0.33557549118995667,2.3140854835510254,0.008419881574809551,0.09574706107378006,3,,,,,,,,
5e-06,599,,,,,,,,,,,,,
,599,0.3856877088546753,2.2866063117980957,0.024061573669314384,0.13296549022197723,3,,,,,,,,
,627,,,,,3,0.40989813208580017,2.6924924850463867,0.011973831802606583,0.1286752074956894,,,,
5e-06,649,,,,,,,,,,,,,
,649,0.5329549312591553,3.8023760318756104,0.016095858067274094,0.13662147521972656,4,,,,,,,,
5e-06,699,,,,,,,,,,,,,
,699,0.4379517436027527,3.1353230476379395,0.011002329178154469,0.1134171262383461,4,,,,,,,,
5e-06,749,,,,,,,,,,,,,
,749,0.39063704013824463,2.6565661430358887,0.019044457003474236,0.1059359461069107,4,,,,,,,,
,784,,,,,4,,,,,0.44374212622642517,3.005533456802368,0.011321110650897026,0.13186763226985931
,784,,,,,4,0.4142696261405945,2.7774453163146973,0.013261477462947369,0.12326361984014511,,,,
5e-06,799,,,,,,,,,,,,,
,799,0.516450822353363,4.062064170837402,0.012584974989295006,0.09765945374965668,5,,,,,,,,
5e-06,849,,,,,,,,,,,,,
,849,0.39488083124160767,2.6414332389831543,0.009552866220474243,0.12118466198444366,5,,,,,,,,
5e-06,899,,,,,,,,,,,,,
,899,0.7207688689231873,3.603355884552002,0.22853977978229523,0.13189345598220825,5,,,,,,,,
,941,,,,,5,0.42697542905807495,2.883281946182251,0.01611253432929516,0.12253469228744507,,,,
5e-06,949,,,,,,,,,,,,,
,949,0.278389036655426,1.271256685256958,0.004388647153973579,0.14687472581863403,6,,,,,,,,
5e-06,999,,,,,,,,,,,,,
,999,0.4398689866065979,3.153749704360962,0.004611530341207981,0.1198824793100357,6,,,,,,,,
5e-06,1049,,,,,,,,,,,,,
,1049,0.5010073184967041,3.382068157196045,0.017570508643984795,0.14522995054721832,6,,,,,,,,
,1098,,,,,6,0.4146707057952881,2.8026809692382812,0.011253922246396542,0.12314871698617935,,,,
5e-06,1099,,,,,,,,,,,,,
,1099,0.3947088420391083,2.764577627182007,0.009660671465098858,0.10859040170907974,7,,,,,,,,
5e-06,1149,,,,,,,,,,,,,
,1149,0.33040186762809753,1.874549150466919,0.0052812304347753525,0.13766571879386902,7,,,,,,,,
5e-06,1199,,,,,,,,,,,,,
,1199,0.47471246123313904,3.2836380004882812,0.015023927204310894,0.13132473826408386,7,,,,,,,,
5e-06,1249,,,,,,,,,,,,,
,1249,0.4102551341056824,3.1785786151885986,0.00801135879009962,0.08438590168952942,7,,,,,,,,
,1255,,,,,7,0.42090755701065063,2.886802911758423,0.011089599691331387,0.12113763391971588,,,,
5e-06,1299,,,,,,,,,,,,,
,1299,0.4026382565498352,2.556011915206909,0.010646188631653786,0.13639089465141296,8,,,,,,,,
5e-06,1349,,,,,,,,,,,,,
,1349,0.38028448820114136,2.269906997680664,0.007429051678627729,0.14586474001407623,8,,,,,,,,
5e-06,1399,,,,,,,,,,,,,
,1399,0.3068733215332031,1.5507493019104004,0.019434437155723572,0.1323639452457428,8,,,,,,,,
,1412,,,,,8,0.4167979061603546,2.7713162899017334,0.011725036427378654,0.1279412806034088,,,,
5e-06,1449,,,,,,,,,,,,,
,1449,0.4446595013141632,3.4167776107788086,0.005383896641433239,0.09759783744812012,9,,,,,,,,
5e-06,1499,,,,,,,,,,,,,
