lr-Adam,step,loss_train_step,pos_train_step,cell_train_step,atomic_numbers_train_step,epoch,loss_val,pos_val,cell_val,atomic_numbers_val,loss_train_epoch,pos_train_epoch,cell_train_epoch,atomic_numbers_train_epoch
1e-05,49,,,,,,,,,,,,,
,49,0.4195265769958496,2.600955009460449,0.018890393897891045,0.1405407190322876,0,,,,,,,,
1e-05,99,,,,,,,,,,,,,
,99,0.4375438988208771,2.5533719062805176,0.027734078466892242,0.15447261929512024,0,,,,,,,,
1e-05,149,,,,,,,,,,,,,
,149,0.5005906820297241,3.493471145629883,0.018604855984449387,0.13263866305351257,0,,,,,,,,
,156,,,,,0,0.41427552700042725,2.8588218688964844,0.011893616057932377,0.11649970710277557,,,,
,156,,,,,0,,,,,0.4318857491016388,2.852574348449707,0.013502661138772964,0.13312576711177826
1e-05,199,,,,,,,,,,,,,
,199,0.4246062934398651,2.9296061992645264,0.010563063435256481,0.121082603931427,1,,,,,,,,
1e-05,249,,,,,,,,,,,,,
,249,0.40578150749206543,2.4874610900878906,0.022168681025505066,0.13486669957637787,1,,,,,,,,
1e-05,299,,,,,,,,,,,,,
,299,0.44987156987190247,2.9560182094573975,0.008222527801990509,0.1460472047328949,1,,,,,,,,
,313,,,,,1,0.39308005571365356,2.6721034049987793,0.01014799065887928,0.1157216802239418,,,,
,313,,,,,1,,,,,0.40451258420944214,2.7774887084960938,0.01028497889637947,0.11647871136665344
1e-05,349,,,,,,,,,,,,,
,349,0.5147935152053833,3.9694178104400635,0.007410131860524416,0.11044164001941681,2,,,,,,,,
1e-05,399,,,,,,,,,,,,,
,399,0.46800270676612854,3.6892664432525635,0.007199749816209078,0.091876320540905,2,,,,,,,,
1e-05,449,,,,,,,,,,,,,
,449,0.33328109979629517,1.9583591222763062,0.010547610931098461,0.12689760327339172,2,,,,,,,,
,470,,,,,2,0.393215537071228,2.7038910388946533,0.01036726776510477,0.11245914548635483,,,,
,470,,,,,2,,,,,0.39965882897377014,2.7782387733459473,0.009816184639930725,0.1120188757777214
