Perovskite,Hill formula,Interlayer space composition,Dopant,"Dopant, wt%","Bandgap, eV",DOI,Materials Project ID,COD_ID,Springer_ID,Z,Z_MP,"a, A","b, A","c, A",Symmetry group,"d,A",a_MP,b_MP,c_MP,XRD pattern,Crystal structure,Number of octahedrons on a layer,Valence electrons,Volume,Valence Electrons Density,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,Average Pauling electronegativity,Average Mulliken electronegativity
K4Nb6O17,K4 Nb6 O17,,,,3.5,10.1007/BF00765319,mp-560692,1001842,,,4,,,,,,6.604068,7.938952,33.703336,,,,34,1767.044972,0.076964651,1.62962963,2.518518519,0.888888889,0,0.323529412,0.5,0.176470588,0,0.82,3.44,2.62,2.642962963,2.642962963,5.958736269
KLaNb2O7,K La Nb2 O7,,,,3.2,10.1007/BF00765319,mp-1223501,1545643,,,1,7.806,7.668,21.54,Pmaa,,3.932702,3.9458,11.35639878,https://www.wellesu.com/10.1016/0025-5408(87)90060-2,,2,14,173.5450216,0.080670709,1.727272727,2.545454545,0.818181818,0,0.339285714,0.5,0.160714286,0,0.82,3.44,2.62,2.654545455,2.654545455,5.994691144
RbLaNb2O7,La Nb2 O7 Rb,,,,3.35,10.1007/BF00765319,mp-553965,-1,,,2,3.885,3.885,10.989,P4/mmm,,11.92921406,11.92921406,11.92921406,https://www.wellesu.com/10.1016/0025-5408(87)90060-2,,2,14,349.0087537,0.080227214,1.727272727,2.545454545,0.818181818,0,0.339285714,0.5,0.160714286,0,0.82,3.44,2.62,2.654545455,2.654545455,5.98655121
CsLaNb2O7,Cs La Nb2 O7,,,,3.3,10.1007/BF00765319,mp-553248,2004917,,,1,3.905,3.905,11.185,P4/mmm,,3.952105,3.952105,11.503833,https://www.wellesu.com/10.1016/0025-5408(87)90060-2,,2,14,179.6799083,0.077916335,1.727272727,2.545454545,0.818181818,0,0.339285714,0.5,0.160714286,0,0.79,3.44,2.65,2.651818182,2.651818182,5.973028104
KCa2Nb3O10,Ca2 K Nb3 O10,,,,3.35,10.1007/BF00765319,mp-557195,1521061,,,4,7.727,7.727,29.466,P42412,,7.808443,7.854881,15.19056011,https://www.wellesu.com/10.1016/0025-5408(90)90035-z,https://www.wellesu.com/10.1016/0025-5408(81)90063-5,3,20,924.746948,0.086510153,1.75,2.5,0.75,0,0.35,0.5,0.15,0,0.82,3.44,2.62,2.62625,2.62625,5.966809681
RbCa2Nb3O10,Ca2 Nb3 O10 Rb,,,,3.5,10.1007/BF00765319,mp-20396,2238958,,,1,7.725,7.725,14.909,P4212,,3.966101,3.966101,15.283337,https://www.wellesu.com/10.1016/0025-5408(90)90035-z,https://www.wellesu.com/10.1016/0025-5408(81)90063-5,3,20,240.406236,0.083192518,1.75,2.5,0.75,0,0.35,0.5,0.15,0,0.82,3.44,2.62,2.62625,2.62625,5.961213477
CsCa2Nb3O10,Ca2 Cs Nb3 O10,,,,3.5,10.1007/BF00765319,mp-581330,1518045,,,8,7.727,7.727,30.176,P42412,,7.825225,7.834523,31.031406,https://www.crystallography.net/cod/1518045.html,https://www.wellesu.com/10.1016/0025-5408(81)90063-5,3,20,1902.439467,0.084102545,1.75,2.5,0.75,0,0.35,0.5,0.15,0,0.79,3.44,2.65,2.624375,2.624375,5.951916341
KSr2Nb3O10,K Nb3 O10 Sr2,,,,3.16,10.1007/BF00765319,-1,-1,,4,0,7.831,7.801,15.05,P21/m,15.05,0,,,10.1016/j.physb.2017.09.060,,3,20,911.6585309,,1.75,2.5,0.75,0,0.35,0.5,0.15,0,0.82,3.44,2.62,2.62,2.62,5.942386368
KCa2NaNb4O13,Ca2 K Na Nb4 O13,,,,3.21,10.1007/BF00765319,-1,-1,,8,0,7.749,7.736,37.37,orthorombic,18.685,0,,,10.1021/cm302480h,,4,26,2240,,1.714285714,2.476190476,0.761904762,0,0.346153846,0.5,0.153846154,0,0.82,3.44,2.62,2.612857143,2.612857143,5.94139645
TiO2,O2 Ti,,,,3,10.1007/BF00765319,mp-1245098,1010942,,,30,,,,,,10.59112378,10.78473663,10.48617618,,,inf,4,1182.74126,0.101459215,2,2.666666667,0.666666667,0,0.375,0.5,0.125,0,1.54,3.44,1.9,2.806666667,2.806666667,6.1769976
