iter	RMSE
0	3.586512724
1	3.509375017
2	3.437806887
3	3.370152382
4	3.304455038
5	3.244897248
6	3.189847809
7	3.140178345
8	3.08860057
9	3.04635522
10	2.997182909
11	2.95214058
12	2.90755971
13	2.87246726
14	2.836118428
15	2.802491976
16	2.767308156
17	2.734451191
18	2.707478885
19	2.682347887
20	2.652981304
21	2.624530581
22	2.603304855
23	2.583486432
24	2.554164565
25	2.531987549
26	2.50996931
27	2.482363609
28	2.464104853
29	2.447061971
30	2.424421452
31	2.400338769
32	2.383995261
33	2.363543104
34	2.345587267
35	2.326027097
36	2.307781967
37	2.289745411
38	2.274137474
39	2.258818419
40	2.24534317
41	2.231882656
42	2.220779705
43	2.207181085
44	2.196269579
45	2.18453662
46	2.172451362
47	2.1569041
48	2.147311114
49	2.135038563
50	2.124846203
51	2.114055982
52	2.103656404
53	2.092057565
54	2.080264976
55	2.070808451
56	2.062330761
57	2.055127498
58	2.046175566
59	2.036384815
60	2.022723023
61	2.013673229
62	2.001835621
63	1.992114539
64	1.984736039
65	1.974968479
66	1.967561696
67	1.960093463
68	1.949198025
69	1.940153034
70	1.931464886
71	1.925118778
72	1.918844129
73	1.909303239
74	1.900294379
75	1.890852955
76	1.88502201
77	1.877145741
78	1.867319709
79	1.858413313
80	1.850082246
81	1.841720976
82	1.833793134
83	1.82684898
84	1.819910382
85	1.812732509
86	1.805065428
87	1.799046916
88	1.791444167
89	1.785203945
90	1.779132455
91	1.774150713
92	1.768456222
93	1.76235024
94	1.757347272
95	1.750792546
96	1.746823043
97	1.739222879
98	1.734677724
99	1.728702251
100	1.72217074
101	1.714707199
102	1.708452432
103	1.702122434
104	1.697341481
105	1.692265413
106	1.688362325
107	1.684090173
108	1.678077867
109	1.673797576
110	1.666810154
111	1.662821776
112	1.656883229
113	1.651492638
114	1.64738553
115	1.644261369
116	1.63815114
117	1.634816942
118	1.629132255
119	1.623637443
120	1.619660297
121	1.616070798
122	1.610334247
123	1.605385532
124	1.600141517
125	1.594756692
126	1.590010159
127	1.587177204
128	1.581389038
129	1.575411596
130	1.571549599
131	1.566800847
132	1.562910234
133	1.558272166
134	1.552286726
135	1.548374971
136	1.542819393
137	1.537020292
138	1.532699487
139	1.528530017
140	1.525477454
141	1.520758203
142	1.515257893
143	1.509737278
144	1.505281765
145	1.499580526
146	1.494626085
147	1.490658734
148	1.48607756
149	1.481575868
150	1.478174369
151	1.474783653
152	1.471723394
153	1.469434084
154	1.465864282
155	1.461062623
156	1.456911466
157	1.450631562
158	1.4473252
159	1.442002754
160	1.439146512
161	1.436953887
162	1.432023448
163	1.429986502
164	1.426862785
165	1.422115819
166	1.418464424
167	1.415239646
168	1.410489381
169	1.406880069
170	1.402668455
171	1.39957234
172	1.394167921
173	1.389823993
174	1.385817326
175	1.381989578
176	1.379144541
177	1.375197472
178	1.372221775
179	1.367956517
180	1.364968324
181	1.360200198
182	1.357688297
183	1.354072704
184	1.351510989
185	1.349337287
186	1.344597786
187	1.340768655
188	1.337070893
189	1.334763909
190	1.330434582
191	1.324564911
192	1.320276043
193	1.31818079
194	1.314739213
195	1.310585366
196	1.306107319
197	1.304290073
198	1.300162256
199	1.296408301
200	1.293453079
201	1.29062628
202	1.287546241
203	1.285113025
204	1.282907395
205	1.281154001
206	1.277602001
207	1.275772329
208	1.270456831
209	1.267833777
210	1.264522594
211	1.262402492
212	1.258440172
213	1.25566671
214	1.251199541
215	1.249431836
216	1.245475385
217	1.242596818
218	1.239011366
219	1.236706973
220	1.234670153
221	1.231297776
222	1.228544277
223	1.225368418
224	1.222517519
225	1.21909383
226	1.215960364
227	1.213316487
228	1.210855375
229	1.207881081
230	1.206088912
231	1.203858194
232	1.201054219
233	1.198726015
234	1.196513622
235	1.193289951
236	1.191662404
237	1.189297052
238	1.186426725
239	1.185015346
240	1.18249966
241	1.179445193
242	1.176436362
243	1.174064027
244	1.171474646
245	1.168587018
246	1.166575666
247	1.163545279
248	1.161733779
249	1.158975727
250	1.156629177
251	1.153795719
252	1.150341756
253	1.147532159
254	1.144640994
255	1.142893849
256	1.141123308
257	1.139028854
258	1.135142579
259	1.131823832
260	1.129802284
261	1.127999311
262	1.125867621
263	1.1231276
264	1.12056108
265	1.118784803
266	1.117011614
267	1.115397434
268	1.113638781
269	1.112078165
270	1.110053273
271	1.107851981
272	1.105078665
273	1.103164174
274	1.100249094
275	1.097925543
276	1.095601447
277	1.092629832
278	1.090753367
279	1.088867467
280	1.087124412
281	1.084936737
282	1.082981906
283	1.081814013
284	1.080709359
285	1.07868169
286	1.076995949
287	1.074432104
288	1.072314107
289	1.070115391
290	1.068510244
291	1.066190211
292	1.063994663
293	1.061508652
294	1.059152428
295	1.057876527
296	1.056003413
297	1.054614971
298	1.05317626
299	1.051571565
300	1.05032962
301	1.047856855
302	1.045616378
303	1.043848501
304	1.042645878
305	1.041143067
306	1.038774904
307	1.036910909
308	1.035313025
309	1.032562674
310	1.031007064
311	1.029346289
312	1.02800539
313	1.024966489
314	1.023868168
315	1.022220597
316	1.020352258
317	1.018582989
318	1.017143955
319	1.01631328
320	1.014117442
321	1.012918562
322	1.010919023
323	1.008994252
324	1.006765249
325	1.005526115
326	1.004396452
327	1.002900376
328	1.000537254
329	0.9992469219
330	0.9972629484
331	0.996271761
332	0.9949492795
333	0.9928868195
334	0.9917183658
335	0.9898700175
336	0.9889902681
337	0.9868919961
338	0.9857982216
339	0.9843834791
340	0.9826470419
341	0.9801617687
342	0.9789990399
343	0.9768215454
344	0.974300091
345	0.9733989358
346	0.9714192748
347	0.9702278926
348	0.9674833309
