iter	Passed	Remaining
0	4	4096
1	8	4049
2	11	3806
3	15	3897
4	19	3886
5	23	3847
6	27	3833
7	31	3860
8	35	3881
9	39	3876
10	42	3839
11	46	3843
12	50	3862
13	54	3868
14	59	3877
15	63	3923
16	68	3932
17	71	3925
18	75	3910
19	80	3924
20	84	3923
21	88	3926
22	92	3916
23	97	3948
24	101	3951
25	105	3952
26	109	3949
27	114	3976
28	118	3965
29	122	3955
30	127	3975
31	132	4017
32	137	4028
33	142	4040
34	147	4060
35	152	4081
36	156	4084
37	161	4093
38	165	4083
39	169	4076
40	173	4068
41	178	4070
42	182	4054
43	186	4045
44	190	4040
45	194	4038
46	198	4031
47	202	4022
48	207	4019
49	211	4027
50	216	4026
51	220	4016
52	224	4011
53	229	4015
54	233	4009
55	237	3998
56	241	3999
57	246	3998
58	250	3989
59	254	3984
60	259	3989
61	263	3986
62	267	3984
63	272	3986
64	277	3989
65	281	3987
66	286	3988
67	292	4003
68	299	4039
69	305	4059
70	311	4070
71	315	4071
72	322	4095
73	328	4105
74	332	4103
75	338	4119
76	344	4128
77	349	4127
78	354	4127
79	358	4122
80	362	4117
81	367	4111
82	372	4112
83	376	4105
84	380	4099
85	385	4101
86	390	4097
87	394	4086
88	398	4079
89	404	4087
90	409	4086
91	414	4086
92	419	4093
93	424	4094
94	429	4090
95	434	4089
96	438	4083
97	443	4079
98	447	4073
99	453	4079
100	457	4073
101	461	4067
102	467	4069
103	471	4063
104	475	4056
105	480	4049
106	484	4046
107	489	4043
108	493	4036
109	498	4030
110	502	4026
111	506	4017
112	510	4008
113	515	4004
114	519	4000
115	523	3991
116	527	3981
117	532	3978
118	536	3974
119	541	3970
120	546	3966
121	550	3964
122	555	3958
123	559	3953
124	564	3950
125	568	3943
126	572	3933
127	575	3923
128	580	3920
129	585	3916
130	589	3909
131	593	3903
132	598	3898
133	601	3890
134	606	3883
135	611	3882
136	615	3878
137	619	3871
138	624	3865
139	629	3864
140	633	3857
141	637	3851
142	641	3845
143	646	3841
144	650	3834
145	655	3832
146	660	3831
147	664	3824
148	669	3820
149	673	3816
150	678	3815
151	683	3811
152	687	3806
153	692	3802
154	696	3798
155	701	3792
156	705	3789
157	710	3787
158	715	3782
159	719	3775
160	723	3771
161	728	3766
162	732	3759
163	735	3751
164	740	3745
165	744	3741
166	748	3735
167	752	3728
168	757	3726
169	761	3718
170	765	3712
171	769	3705
172	774	3703
173	778	3697
174	783	3692
175	787	3685
176	791	3682
177	796	3676
178	800	3670
179	805	3669
180	810	3666
181	814	3660
182	819	3657
183	824	3655
184	828	3650
185	832	3644
186	837	3640
187	841	3634
188	845	3629
189	849	3622
190	854	3620
191	859	3615
192	863	3611
193	868	3606
194	872	3601
195	876	3597
196	881	3592
197	885	3587
198	890	3584
199	895	3580
200	899	3576
201	904	3572
202	908	3567
203	912	3562
204	917	3558
205	922	3554
